1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
6089941	ⲕ̅	obj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	6089944	ϩⲁ	case	'NULL'	ϩⲁ	'NULL'	ϩⲁ	'NULL'	PREP
6091075	ⲧⲕ̅	det	ⲡⲉⲕ	'NULL'	ⲧⲉⲕ	'NULL'	PPOS	6091079	ϩⲏ	nmod	'NULL'	ϩⲏ	'NULL'	ϩⲏ	'NULL'	N
6091542	ⲛ̅ⲧⲟⲕ	obl:npmod	ⲛⲧⲟⲕ	'NULL'	ⲛⲧⲟⲕ	'NULL'	PPERI	6091547	ϩⲛ̅	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
6095073	ⲛ̅ⲕⲟⲧⲕ̅	acl:relcl	ⲛⲕⲟⲧⲕ	'NULL'	ⲛⲕⲟⲧⲕ	'NULL'	V	6095077	ϩⲛ̅	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
6099105	ⲧⲕ̅	det	ⲡⲉⲕ	'NULL'	ⲧⲉⲕ	'NULL'	PPOS	6099112	ϩⲓⲏ	obl	'NULL'	ϩⲓⲏ	'NULL'	ϩⲓⲏ	'NULL'	N
6100651	ⲛ̅ⲧⲟⲕ	dislocated	ⲛⲧⲟⲕ	true	ⲛⲧⲟⲕ	'NULL'	PPERI	6100658	ϩⲱⲱ	advmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱⲱ	'NULL'	IMOD
6100710	ⲡⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	6100714	ϩⲏⲧ	conj	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
6101080	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	6101083	ϩⲙ̅	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	'NULL'	PREP
6101604	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	6101607	ϩⲉ	root	'NULL'	ϩⲉ	'NULL'	ϩⲉ	'NULL'	V
6101839	ⲕ	det	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	6101842	ϩⲱⲱ	advmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱⲱ	'NULL'	IMOD
6102350	ⲛⲧⲟⲕ	dislocated	ⲛⲧⲟⲕ	true	ⲛⲧⲟⲕ	'NULL'	PPERI	6102357	ϩⲱⲱ	advmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱⲱ	'NULL'	IMOD
