1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
3357032	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3357034	ϩⲓⲧⲟⲩⲱ	case	'NULL'	ϩⲓⲧⲟⲩⲛ	'NULL'	ϩⲓⲧⲟⲩⲱ	ϩⲓⲧⲟⲩⲱ	PREP
3357244	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3357247	ϩⲙ	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	ϩⲙ	PREP
3357795	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3357797	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	ϩⲛ	PREP
3358200	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3358202	ϩⲉⲗⲡⲓⲍⲉ	acl	Greek	ϩⲉⲗⲡⲓⲍⲉ	'NULL'	ϩⲉⲗⲡⲓⲍⲉ	ϩⲉⲗⲡⲓⲍⲉ	V
3358212	ϩⲙⲉⲧ	ccomp	ϩⲙⲉⲧ	'NULL'	ϩⲙⲉⲧ	ϩⲙⲉⲧ	V	3358214	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	ϩⲛ	PREP
3358253	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3358255	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3358286	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3358289	ⲁⲓⲃⲉⲥ	obl	'NULL'	ϩⲁⲉⲓⲃⲉⲥ	'NULL'	ϩⲁⲓⲃⲉⲥ	ⲁⲓⲃⲉⲥ	N
3358467	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3358469	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3358498	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3358500	ⲉ	conj	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3358527	ⲉⲑ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲑ	CREL	3358530	ⲏⲡ	acl	'NULL'	ϩⲱⲡ	'NULL'	ϩⲏⲡ	ⲏⲡ	VSTAT
3360635	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3360638	ϩⲉⲗⲡⲓⲍⲉ	acl	Greek	ϩⲉⲗⲡⲓⲍⲉ	'NULL'	ϩⲉⲗⲡⲓⲍⲉ	ϩⲉⲗⲡⲓⲍⲉ	V
3360762	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3360764	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3361101	ⲉⲥⲏⲧ	obl	ⲉⲥⲏⲧ	'NULL'	ⲉⲥⲏⲧ	ⲉⲥⲏⲧ	N	3361103	ϩⲁⲣⲁⲧ	case	'NULL'	ϩⲁⲣⲁⲧ	'NULL'	ϩⲁⲣⲁⲧ	ϩⲁⲣⲁⲧ	PREP
3361250	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3361252	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3361281	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3361283	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3362073	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3362075	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3362120	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3362122	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3362386	ⲑ	det	ⲡ	true	ⲧ	ⲑ	ART	3362391	ⲟⲧⲉ	dislocated	'NULL'	ϩⲟⲧⲉ	'NULL'	ϩⲟⲧⲉ	ⲟⲧⲉ	N
3362622	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	3362624	ϩⲏⲡ	acl	'NULL'	ϩⲱⲡ	'NULL'	ϩⲏⲡ	ϩⲏⲡ	VSTAT
3363847	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3363849	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
3364661	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3364664	ⲏ	nmod	'NULL'	ϩⲏ	'NULL'	ϩⲏ	ⲏ	N
3364877	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	3364879	ⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ⲉ	N
