1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:pos
1627354	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1627359	ϩⲓⲙⲉ	appos	ⲥϩⲓⲙⲉ	'NULL'	ϩⲓⲙⲉ	N
1627492	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1627495	ϩⲏⲛ	acl	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1627870	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1627873	ϩⲓⲧⲟⲩⲱ	case	ϩⲓⲧⲟⲩⲛ	'NULL'	ϩⲓⲧⲟⲩⲱ	PREP
1627905	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1627910	ϩⲙ	case	ϩⲛ	'NULL'	ϩⲙ	PREP
1628282	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1628287	ϩⲓⲙⲉ	appos	ⲥϩⲓⲙⲉ	'NULL'	ϩⲓⲙⲉ	N
1628559	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1628562	ϩⲛ	case	ϩⲛ	'NULL'	ϩⲛ	PREP
1628690	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1628693	ϩⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1628716	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1628719	ϩⲉ	conj	ϩⲉ	'NULL'	ϩⲉ	N
1628880	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1628883	ϩⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1629139	ⲧ	det	ⲡ	'NULL'	ⲧ	ART	1629144	ϩⲉ	obj	ϩⲉ	'NULL'	ϩⲉ	N
1629285	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1629288	ϩⲏⲛ	acl	ϩⲱⲛ	'NULL'	ϩⲏⲛ	VSTAT
1959783	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1959789	ⲉⲕⲁⲧⲏ	obl	ϩⲉⲕⲁⲧⲏ	'NULL'	ϩⲉⲕⲁⲧⲏ	NPROP
1960860	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1960863	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1962066	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1962069	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1962203	ⲉϣⲧ	root	ⲟⲩⲱϣⲧ	'NULL'	ⲉϣⲧ	V	1962206	ϩⲉⲛ	det	ⲟⲩ	'NULL'	ϩⲉⲛ	ART
1962609	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1962612	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1962931	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1962934	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1963136	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1963142	ϩⲉⲗⲡⲓ̈ⲥ	acl	ϩⲉⲗⲡⲓⲥ	'NULL'	ϩⲉⲗⲡⲓⲥ	V
1963709	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1963715	ϩⲉⲓ̈ϫⲛ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲛ	PREP
1963808	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1963814	ϩⲉⲓ̈ϫⲱ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲱ	PREP
1964192	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1964195	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1964831	ⲉⲑ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1964834	ⲟⲟⲩ	acl	ϩⲟⲟⲩ	'NULL'	ϩⲟⲟⲩ	VSTAT
1965771	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1965775	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1967435	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1967438	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1967892	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1967895	ϩⲏⲡ	acl	ϩⲱⲡ	'NULL'	ϩⲏⲡ	VSTAT
1969492	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1969496	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1969624	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1969630	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
1970616	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1970622	ϩⲏⲡ	acl	ϩⲱⲡ	'NULL'	ϩⲏⲡ	VSTAT
1970703	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1970706	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1970755	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1970760	ϩⲛ	case	ϩⲛ	'NULL'	ϩⲛ	PREP
1970837	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1970840	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1971631	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1971634	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1971718	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1971721	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1971819	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1971822	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1972066	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1972069	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1972265	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1972268	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
1972460	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1972463	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1973234	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1973239	ⲏ	obl	ϩⲏ	'NULL'	ϩⲏ	N
1973522	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1973527	ⲁⲗⲁⲥ ⲥⲁ	obl	ϩⲁⲗⲁⲥⲥⲁ	'NULL'	ϩⲁⲗⲁⲥⲥⲁ	N
1974198	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1974201	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1975093	ϣⲁⲁⲧ	acl	ϣⲓⲧⲉ	'NULL'	ϣⲁⲁⲧ	VSTAT	1975096	ϩⲉⲓ̈ ϫⲱ	case	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲱ	PREP
1975979	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	1975982	ϩⲁ	case	ϩⲁ	'NULL'	ϩⲁ	PREP
1977974	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1977977	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
1978810	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1978815	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
1978984	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	1978987	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
